POS	chr	cM	len	nsnps	cMmb	freqTV	freqTS	countTV	countTS	freqTScpg	countTScpg	freqTSnoncpg	countTSnoncpg	freqTVcpg	countTVcpg	freqTVnoncpg	countTVnoncpg	freqGC	countGC
1	chr1	0.0266621975103462	989359	218	2.69489614086961	0.553046036690896	0.634061073059361	214	1168	0.690437676632456	498	0.592157269209508	670	0.448665577342048	68	0.601661593099949	146	0.621516052955995	1382
1000001	chr1	0.0139312295490164	1e+06	834	1.39312295490164	0.632030759573132	0.705590402230187	590	3720	0.734402930219349	2217	0.663090485695276	1503	0.571597074781788	157	0.653943204174151	433	0.695520752771333	4310
2000001	chr1	0.0124487088737292	1e+06	661	1.24487088737292	0.650551549885993	0.733369054594422	601	3603	0.754172076165747	2054	0.705783898811659	1549	0.612416904083571	156	0.663920099875156	445	0.721529539768122	4204
3000001	chr1	0.0236932756016246	1e+06	898	2.36932756016246	0.624147470641373	0.712722660868902	820	4855	0.738074287390342	2778	0.678814707822893	2077	0.556973241183767	209	0.647125234891192	611	0.699924131179638	5675
4000001	chr1	0.0164880988151578	1e+06	889	1.64880988151578	0.607994899661566	0.643532537079093	777	3963	0.671311788643077	1793	0.62057945041816	2170	0.507550705467372	168	0.635703642887551	609	0.637707063603688	4740
5000001	chr1	0.0199720972630937	1e+06	946	1.99720972630937	0.596320272183404	0.643747012008212	811	3951	0.673004819177001	1783	0.619684894765614	2168	0.469715956558062	133	0.621155632033213	678	0.635669925490379	4762
6000001	chr1	0.00833386429473235	1e+06	536	0.833386429473235	0.623242912422017	0.674821108511541	469	2707	0.706612390786338	1259	0.6471793789646	1448	0.486960584437649	109	0.664506172839506	360	0.667204554995802	3176
7000001	chr1	0.0144572905385245	1e+06	622	1.44572905385245	0.597555122011644	0.638389513783738	598	3082	0.686457924355451	1415	0.597587593592393	1667	0.483432812978268	121	0.626504386986567	477	0.631753925120773	3680
8000001	chr1	0.00872768541732991	1e+06	401	0.872768541732991	0.542045817369093	0.601122618283023	464	2076	0.63849319404875	819	0.576773770588409	1257	0.441711289602856	83	0.563903470399533	381	0.590330635753864	2540
9000001	chr1	0.0123462593736593	1e+06	498	1.23462593736593	0.592031758599455	0.640573119676628	421	2309	0.694200312488903	1043	0.596392106956878	1266	0.391872427983539	90	0.646455745775987	331	0.633087437254104	2730
10000001	chr1	0.0114157407414268	1e+06	521	1.14157407414268	0.6182942534861	0.627354706826062	417	2147	0.658512783512784	1001	0.600138969685218	1146	0.587863401035444	93	0.627029035208048	324	0.625881146356965	2564
11000001	chr1	0.0106104885045315	1e+06	646	1.06104885045315	0.607808100498159	0.629761212221945	513	2674	0.650685541310541	1144	0.614115831517792	1530	0.496134020618557	97	0.633847489316239	416	0.62622749828586	3187
12000001	chr1	0.0129488016255675	1e+06	440	1.29488016255675	0.57601795507475	0.61183800623053	493	2140	0.620573283779743	867	0.605888685228827	1273	0.442098765432099	75	0.600046517809676	418	0.605131099576599	2633
13000001	chr1	0.0233851587411158	1e+06	547	2.33851587411158	0.485158311345646	0.586533265788585	379	1645	0.621610812862643	683	0.561628936628937	962	0.294542648709315	66	0.52535202934564	313	0.567550505050505	2024
14000001	chr1	0.0174329856658245	1e+06	930	1.74329856658245	0.571053322826372	0.580029566894372	705	3188	0.613745859680819	1230	0.558849260394204	1958	0.49109993614304	116	0.586799660441426	589	0.57840402051165	3893
