POS	chr	cM	len	cMmb	countGC	freqGC	countTS	freqTS	countTV	freqTV	countTScpg	freqTScpg	countTSnoncpg	freqTSnoncpg	countTVcpg	freqTVcpg	countTVnoncpg	freqTVnoncpg
1	chr1	0.0266621975103462	989359	2.69489614086961	1382	0.621516052955995	1168	0.634061073059361	214	0.553046036690896	498	0.690437676632456	670	0.592157269209508	68	0.448665577342048	146	0.601661593099949
1000001	chr1	0.0139312295490164	1e+06	1.39312295490164	4310	0.695520752771333	3720	0.705590402230187	590	0.632030759573132	2217	0.734402930219349	1503	0.663090485695276	157	0.571597074781788	433	0.653943204174151
2000001	chr1	0.0124487088737292	1e+06	1.24487088737292	4204	0.721529539768122	3603	0.733369054594422	601	0.650551549885993	2054	0.754172076165747	1549	0.705783898811659	156	0.612416904083571	445	0.663920099875156
3000001	chr1	0.0236932756016246	1e+06	2.36932756016246	5675	0.699924131179638	4855	0.712722660868902	820	0.624147470641373	2778	0.738074287390342	2077	0.678814707822893	209	0.556973241183767	611	0.647125234891192
4000001	chr1	0.0164880988151578	1e+06	1.64880988151578	4740	0.637707063603688	3963	0.643532537079093	777	0.607994899661566	1793	0.671311788643077	2170	0.62057945041816	168	0.507550705467372	609	0.635703642887551
5000001	chr1	0.0199720972630937	1e+06	1.99720972630937	4762	0.635669925490379	3951	0.643747012008212	811	0.596320272183404	1783	0.673004819177001	2168	0.619684894765614	133	0.469715956558062	678	0.621155632033213
6000001	chr1	0.00833386429473235	1e+06	0.833386429473235	3176	0.667204554995802	2707	0.674821108511541	469	0.623242912422017	1259	0.706612390786338	1448	0.6471793789646	109	0.486960584437649	360	0.664506172839506
7000001	chr1	0.0144572905385245	1e+06	1.44572905385245	3680	0.631753925120773	3082	0.638389513783738	598	0.597555122011644	1415	0.686457924355451	1667	0.597587593592393	121	0.483432812978268	477	0.626504386986567
8000001	chr1	0.00872768541732991	1e+06	0.872768541732991	2540	0.590330635753864	2076	0.601122618283023	464	0.542045817369093	819	0.63849319404875	1257	0.576773770588409	83	0.441711289602856	381	0.563903470399533
9000001	chr1	0.0123462593736593	1e+06	1.23462593736593	2730	0.633087437254104	2309	0.640573119676628	421	0.592031758599455	1043	0.694200312488903	1266	0.596392106956878	90	0.391872427983539	331	0.646455745775987
10000001	chr1	0.0114157407414268	1e+06	1.14157407414268	2564	0.625881146356965	2147	0.627354706826062	417	0.6182942534861	1001	0.658512783512784	1146	0.600138969685218	93	0.587863401035444	324	0.627029035208048
11000001	chr1	0.0106104885045315	1e+06	1.06104885045315	3187	0.62622749828586	2674	0.629761212221945	513	0.607808100498159	1144	0.650685541310541	1530	0.614115831517792	97	0.496134020618557	416	0.633847489316239
12000001	chr1	0.0129488016255675	1e+06	1.29488016255675	2633	0.605131099576599	2140	0.61183800623053	493	0.57601795507475	867	0.620573283779743	1273	0.605888685228827	75	0.442098765432099	418	0.600046517809676
13000001	chr1	0.0233851587411158	1e+06	2.33851587411158	2024	0.567550505050505	1645	0.586533265788585	379	0.485158311345646	683	0.621610812862643	962	0.561628936628937	66	0.294542648709315	313	0.52535202934564
14000001	chr1	0.0174329856658245	1e+06	1.74329856658245	3893	0.57840402051165	3188	0.580029566894372	705	0.571053322826372	1230	0.613745859680819	1958	0.558849260394204	116	0.49109993614304	589	0.586799660441426
15000001	chr1	0.0103184608419635	1e+06	1.03184608419635	3025	0.598801652892562	2500	0.609448148148148	525	0.54810405643739	1142	0.64246448725433	1358	0.581683303332788	108	0.48088134430727	417	0.565514255262457
16000001	chr1	0.00964623851536215	1e+06	0.964623851536215	2825	0.638126843657817	2328	0.641317058037419	497	0.623183545718757	969	0.662892252417536	1359	0.625933420543428	96	0.507716049382716	401	0.650826637110926
17000001	chr1	0.0132051286595968	1e+06	1.32051286595968	3801	0.642394301694486	3113	0.654086507001701	688	0.589490471576227	1361	0.668925354450704	1752	0.64255929731101	141	0.446086157079065	547	0.62645575191279
18000001	chr1	0.02076419755197	1e+06	2.076419755197	4349	0.647639304054572	3595	0.6581208468552	754	0.597664308871205	1489	0.683459567693953	2106	0.640205673384686	160	0.471122685185185	594	0.631749594712558
19000001	chr1	0.00979987168972137	1e+06	0.979987168972137	3018	0.61168482929583	2471	0.616456450379963	547	0.590129663484325	1050	0.642380952380952	1421	0.597300414418641	105	0.448015873015873	442	0.623889726830903
20000001	chr1	0.0092534863527958	1e+06	0.92534863527958	2707	0.601030934887603	2191	0.605995486586541	516	0.579950832615561	909	0.647766165505439	1282	0.576378055122205	85	0.54624183006536	431	0.586598779754232
21000001	chr1	0.00706628145257175	1e+06	0.706628145257175	2607	0.629437838298598	2156	0.634785353535353	451	0.603874106922887	918	0.656741709029291	1238	0.618504308023694	97	0.527682321496754	354	0.624751517053777
22000001	chr1	0.0106738330005493	1e+06	1.06738330005493	3295	0.635269488000899	2729	0.644600857728377	566	0.590277777777778	1170	0.672372586261475	1559	0.623758700971658	104	0.516292735042735	462	0.606932419432419
23000001	chr1	0.00523131857223413	1e+06	0.523131857223413	1811	0.585411681698264	1476	0.588957266887484	335	0.569789939192924	526	0.616550485847064	950	0.573679337231969	78	0.506291547958215	257	0.589061824470385
24000001	chr1	0.00960548503871703	1e+06	0.960548503871703	2692	0.620846747564801	2229	0.625463170662812	463	0.598622110231182	902	0.651468957871397	1327	0.607786290435122	105	0.5331569664903	358	0.61782278088144
